german_word,english_translation,german_sentence,english_sentence
spät,late,Wie spät ist es?,What time is it?
spätestens,at the latest,Ich muss spätestens um 9 Uhr bei der Arbeit sein.,I have to be at work no later than 9 o'clock.
"spazieren gehen, geht spazieren, ging spazieren, ist spazieren gegangen",to go for a walk,Wir gehen sonntags immer spazieren.,We always go for a walk on Sundays.
"der Spaziergang, -""e",stroll,Abends mache ich oft einen Spaziergang.,In the evening I often go for a walk.
"speichern, speichert, speicherte, hat gespeichert","to save, store (data)",Sie müssen die Datei speichern.,You have to save the file.
"die Speisekarte, -n / Speise-",menu,"Bitte, die Speisekarte.",The menu please.
"der Speisewagen, - / Speise-",dining car,Wo ist der Speisewagen?,Where is the dining car?
"die Vorspeise, -n / -speise",starter,"Als Vorspeise nehme ich eine Suppe, aber dafür nehme ich keine Nachspeise.","As an appetizer, I take a soup, but I do not take a dessert for that."
"die Spezialpflege, -n / Spezial-",special care,Ich brauche eine Spezialpflege für trockenes Haar.,I need a special care for dry hair.
"der Spezialist, -en",specialist,Mein Arzt hat mich zum Spezialisten geschickt.,My doctor has sent me to the specialist.
speziell,special,Ich suche einen ganz speziellen Ring für meine Freundin.,I am looking for a very special ring for my girlfriend.
"der Spiegel, -",mirror,"Ich möchte gerne sehen, wie mein Kleid sitzt. Hast du einen Spiegel?",I would like to see how my dress is sitting. Do you have a mirror?
"spielen, spielt, spielte, hat gespielt",to play,"Wir haben einen großen Garten, da können die Kinder spielen.",We have a big garden where the children can play.
"das Spiel, -e",game,Monopoly ist ein ganz bekanntes Spiel.,Monopoly is a well-known game.
"der Spieler, -",player,Mein Sohn möchte Fußballspieler werden.,My son wants to become a footballer.
"der Spielplatz, -""e",playground,Die Kinder sind auf dem Spielplatz.,The kids are in the playground.
"das Spielzeug, -e",toy,Zu Weihnachten wünschen sich die Kinder vor allem Spielzeug.,"For Christmas, the children especially want toys."
spitz,"sharp, pointed",Der Bleistift ist nicht spitz.,The pencil is not pointed.
"der Sport, -e",sport,Für Sport interessiere ich mich sehr.,I'm very interested in sports.
"die Sportart, -en",type of sport,Welche Sportart findest du am besten?,Which sport do you like best?
"der Sportler, -",sportsman,Meine Mutter war früher Sportlerin.,My mother used to be an athlete.
sportlich,"sporting, sporty, athletic",Mein Bruder ist sehr sportlich.,My brother is very athletic.
"die Sprache, -n",language,Franco spricht mehrere Sprachen.,Franco speaks several languages.
"die Muttersprache, -en",mother tongue,Was ist Ihre Muttersprache?,What is your native language?
"sprechen, spricht, sprach, hat gesprochen","to speak, talk",Können Sie bitte etwas lauter sprechen?,Can you speak a little louder please?
"die Sprechstunde, -n","consultation (hour), surgery",Dr. Müller hat nachmittags keine Sprechstunde.,Dr. Müller has no office hours in the afternoon.
"springen, springt, sprang, ist gesprungen",to jump,Wir waren im Schwimmbad. Mein Sohn ist immer wieder ins Wasser gesprungen.,We were in the swimming pool. My son jumped into the water again and again.
