chinese_word,english_translation,chinese_sentence,english_sentence
八,eight 8,我有一个八。,I have a eight 8.
爸爸,father 位[wèi],我喜欢这个爸爸。,I like this father 位[wèi].
吧,,这个吧很漂亮。,This  is beautiful.
白,white snowy pure bright empty blank plain,这个白很漂亮。,This white snowy pure bright empty blank plain is beautiful.
百,hundred numerous all kinds of surname Bai,我喜欢这个百。,I like this hundred numerous all kinds of surname Bai.
帮助,assistance aid to help to assist,这个帮助很贵。,This assistance aid to help to assist is expensive.
杯子,cup glass 支[zhī]枝[zhī],我喜欢这个杯子。,I like this cup glass 支[zhī]枝[zhī].
北京,Beijing capital of People's Republic of China,这个北京很贵。,This Beijing capital of People's Republic of China is expensive.
本,roots or stems of plants origin source this the,我有一个本。,I have a roots or stems of plants origin source this the.
比,to,这个比很漂亮。,This to is beautiful.
别,to leave to depart to separate to distinguish to,这个别很好。,This to leave to depart to separate to distinguish to is good.
不客气,you're welcome impolite rude blunt don't,我喜欢这个不客气。,I like this you're welcome impolite rude blunt don't.
不,not no,我有一个不。,I have a not no.
菜,dish  vegetables vegetable cuisine,我喜欢这个菜。,I like this dish  vegetables vegetable cuisine.
茶,tea tea plant 壺|[hú],我喜欢这个茶。,I like this tea tea plant 壺|[hú].
唱歌,to sing a song,这个唱歌很贵。,This to sing a song is expensive.
吃,to eat to have one's meal to eradicate to destroy,我有一个吃。,I have a to eat to have one's meal to eradicate to destroy.
出,to go out to come out to occur to produce to go,我有一个出。,I have a to go out to come out to occur to produce to go.
船,a boat vessel ship [sōu]隻|只,这个船很漂亮。,This a boat vessel ship [sōu]隻|只 is beautiful.
次,next in sequence second the second (day time,我喜欢这个次。,I like this next in sequence second the second (day time.
从,from via passing through through  past,这个从很好。,This from via passing through through  past is good.
大,big huge large major great wide deep oldest,这个大很贵。,This big huge large major great wide deep oldest is expensive.
大家,authority everyone,这个大家很漂亮。,This authority everyone is beautiful.
但是,but however,这个但是很漂亮。,This but however is beautiful.
到,to  until  up to to go to arrive,我有一个到。,I have a to  until  up to to go to arrive.
的,of structural particle: used before a noun linking it,这个的很好。,This of structural particle: used before a noun linking it is good.
得,structural particle: used after a verb (or adjective as,这个得很好。,This structural particle: used after a verb (or adjective as is good.
等,class rank grade equal to same as to wait for to,我喜欢这个等。,I like this class rank grade equal to same as to wait for to.
弟弟,younger brother 位[wèi],这个弟弟很好。,This younger brother 位[wèi] is good.
第一,first number one,这个第一很好。,This first number one is good.
点,drop  stain spot speck jot dot stroke,这个点很好。,This drop  stain spot speck jot dot stroke is good.
懂,to understand to know,这个懂很好。,This to understand to know is good.
都,all both entirely  each even already,我有一个都。,I have a all both entirely  each even already.
多,many much a lot of numerous multi-,这个多很贵。,This many much a lot of numerous multi- is expensive.
多少,number amount somewhat,我有一个多少。,I have a number amount somewhat.
儿子,son,这个儿子很好。,This son is good.
二,two 2 stupid,这个二很贵。,This two 2 stupid is expensive.
非常,unusual extraordinary extreme very exceptional,我喜欢这个非常。,I like this unusual extraordinary extreme very exceptional.
高,high tall above average loud your,我喜欢这个高。,I like this high tall above average loud your.
高兴,happy glad willing  in a cheerful mood,我喜欢这个高兴。,I like this happy glad willing  in a cheerful mood.
哥哥,older brother 位[wèi],我喜欢这个哥哥。,I like this older brother 位[wèi].
个,individual this that size classifier for people or,这个个很贵。,This individual this that size classifier for people or is expensive.
公斤,kilogram,这个公斤很漂亮。,This kilogram is beautiful.
公司,company company firm corporation,这个公司很贵。,This company company firm corporation is expensive.
工作,job work construction task 份[fèn],这个工作很好。,This job work construction task 份[fèn] is good.
狗,dog 條|条[tiáo],我有一个狗。,I have a dog 條|条[tiáo].
孩子,child,我喜欢这个孩子。,I like this child.
好,good well proper good to easy to very so,这个好很漂亮。,This good well proper good to easy to very so is beautiful.
好吃,tasty delicious,这个好吃很贵。,This tasty delicious is expensive.
号,day of a month  name of a ship,我有一个号。,I have a day of a month  name of a ship.
喝,to drink to shout  My goodness!,这个喝很好。,This to drink to shout  My goodness! is good.
和,and together with with sum union peace,这个和很贵。,This and together with with sum union peace is expensive.
黑,black dark abbr. for Heilongjiang 黑龍江|黑江,这个黑很好。,This black dark abbr. for Heilongjiang 黑龍江|黑江 is good.
很,quite very awfully,这个很很贵。,This quite very awfully is expensive.
后面,rear back behind later afterwards,这个后面很贵。,This rear back behind later afterwards is expensive.
回,to circle to go back to turn around to answer to,我有一个回。,I have a to circle to go back to turn around to answer to.
回答,to reply to answer the answer,我喜欢这个回答。,I like this to reply to answer the answer.
会,can be possible be able to will be likely to be,这个会很好。,This can be possible be able to will be likely to be is good.
几,how much how many several a few,这个几很好。,This how much how many several a few is good.
家,home family classifier for families or businesses,这个家很好。,This home family classifier for families or businesses is good.
件,[itgeèm] component classifier for events things,我喜欢这个件。,I like this [itgeèm] component classifier for events things.
叫,to shout to call to order to ask to be called by,我有一个叫。,I have a to shout to call to order to ask to be called by.
教室,classroom,这个教室很漂亮。,This classroom is beautiful.
姐姐,older sister,这个姐姐很贵。,This older sister is expensive.
今天,today at the present now,我喜欢这个今天。,I like this today at the present now.
近,near close to approximately,我喜欢这个近。,I like this near close to approximately.
九,nine 9,我喜欢这个九。,I like this nine 9.
就,at once right away only just  as early,这个就很好。,This at once right away only just  as early is good.
咖啡,coffee,这个咖啡很好。,This coffee is good.
开,to open to start to turn on to boil to write out (a,我有一个开。,I have a to open to start to turn on to boil to write out (a.
开始,to begin beginning to start initial,这个开始很贵。,This to begin beginning to start initial is expensive.
看,to look after to take care of to watch to guard,我喜欢这个看。,I like this to look after to take care of to watch to guard.
可能,might  possible probable possibility,我喜欢这个可能。,I like this might  possible probable possibility.
可以,can may possible able to,这个可以很好。,This can may possible able to is good.
快,rapid quick speed rate soon almost to make,这个快很好。,This rapid quick speed rate soon almost to make is good.
来,to come to arrive to come round ever since next,我喜欢这个来。,I like this to come to arrive to come round ever since next.
了,,这个了很贵。,This  is expensive.
累,tired weary to strain to wear out to work hard,这个累很好。,This tired weary to strain to wear out to work hard is good.
冷,cold,这个冷很好。,This cold is good.
离,to leave to part from to be away from (in giving,这个离很漂亮。,This to leave to part from to be away from (in giving is beautiful.
里,lining interior inside internal also written 裡|里,这个里很好。,This lining interior inside internal also written 裡|里 is good.
两,both two ounce some a few tael weight equal to,这个两很贵。,This both two ounce some a few tael weight equal to is expensive.
零,zero nought zero sign fractional fragmentary,这个零很好。,This zero nought zero sign fractional fragmentary is good.
六,six 6,这个六很贵。,This six 6 is expensive.
路,road path way,我有一个路。,I have a road path way.
旅游,trip journey tourism travel tour,我喜欢这个旅游。,I like this trip journey tourism travel tour.
慢,slow,这个慢很贵。,This slow is expensive.
忙,busy hurriedly,我喜欢这个忙。,I like this busy hurriedly.
猫,cat,这个猫很贵。,This cat is expensive.
没,have not not,这个没很漂亮。,This have not not is beautiful.
没关系,it doesn't matter,这个没关系很好。,This it doesn't matter is good.
每,each every,这个每很好。,This each every is good.
妹妹,younger sister fig. younger woman (esp. girl friend,我有一个妹妹。,I have a younger sister fig. younger woman (esp. girl friend.
门,gate door  gateway doorway CL:,我喜欢这个门。,I like this gate door  gateway doorway CL:.
明天,tomorrow,这个明天很贵。,This tomorrow is expensive.
名字,name,这个名字很漂亮。,This name is beautiful.
哪,how which,这个哪很好。,This how which is good.
哪儿,where? wherever anywhere,这个哪儿很好。,This where? wherever anywhere is good.
那,that those then  commonly pr. nèi,这个那很好。,This that those then  commonly pr. nèi is good.
那儿,there,我喜欢这个那儿。,I like this there.
男人,a man a male men,我有一个男人。,I have a a man a male men.
呢,,我喜欢这个呢。,I like this .
能,to be able to to be capable of ability capability,这个能很贵。,This to be able to to be capable of ability capability is expensive.
你,you,我喜欢这个你。,I like this you.
年,year,我有一个年。,I have a year.
您,you,我有一个您。,I have a you.
牛奶,cow's milk 杯[bēi],这个牛奶很漂亮。,This cow's milk 杯[bēi] is beautiful.
女儿,daughter,这个女儿很好。,This daughter is good.
女人,woman,这个女人很贵。,This woman is expensive.
跑步,to walk quickly to march to run,这个跑步很好。,This to walk quickly to march to run is good.
朋友,friend 位[wèi],我喜欢这个朋友。,I like this friend 位[wèi].
便宜,small advantages to let sb off lightly cheap,我喜欢这个便宜。,I like this small advantages to let sb off lightly cheap.
票,ticket ballot bank note  person,这个票很好。,This ticket ballot bank note  person is good.
漂亮,pretty beautiful,我有一个漂亮。,I have a pretty beautiful.
苹果,apple 顆|[kē],这个苹果很好。,This apple 顆|[kē] is good.
七,seven 7,这个七很好。,This seven 7 is good.
妻子,wife,这个妻子很好。,This wife is good.
起床,to get up,这个起床很贵。,This to get up is expensive.
千,thousand,我喜欢这个千。,I like this thousand.
前面,ahead in front preceding above,这个前面很贵。,This ahead in front preceding above is expensive.
晴,clear fine,这个晴很漂亮。,This clear fine is beautiful.
去,to go to go to  to cause to go or send,这个去很漂亮。,This to go to go to  to cause to go or send is beautiful.
去年,last year,我喜欢这个去年。,I like this last year.
人,man person people 位[wèi],这个人很漂亮。,This man person people 位[wèi] is beautiful.
日,sun day date day of the month abbr. for 日本|日,我有一个日。,I have a sun day date day of the month abbr. for 日本|日.
三,three 3,这个三很漂亮。,This three 3 is beautiful.
商店,store shop 個|个[gè],这个商店很漂亮。,This store shop 個|个[gè] is beautiful.
上,on on top upon first  previous,我喜欢这个上。,I like this on on top upon first  previous.
上班,to go to work to be on duty to start work to go to,这个上班很漂亮。,This to go to work to be on duty to start work to go to is beautiful.
上午,morning,我喜欢这个上午。,I like this morning.
少,few little lack,这个少很漂亮。,This few little lack is beautiful.
身体,body health,我有一个身体。,I have a body health.
什么,what? who? something anything,我喜欢这个什么。,I like this what? who? something anything.
生病,to fall ill to sicken,我有一个生病。,I have a to fall ill to sicken.
生日,birthday,这个生日很贵。,This birthday is expensive.
十,ten 1,这个十很漂亮。,This ten 1 is beautiful.
是,is are am yes to be,这个是很好。,This is are am yes to be is good.
事情,affair matter thing business 樁|,这个事情很贵。,This affair matter thing business 樁| is expensive.
手表,wrist watch 隻|只[zhī]個|个[gè],这个手表很好。,This wrist watch 隻|只[zhī]個|个[gè] is good.
手机,cell phone cellular phone mobile phone CL:部,这个手机很贵。,This cell phone cellular phone mobile phone CL:部 is expensive.
水,water river liquid beverage additional charges or,这个水很贵。,This water river liquid beverage additional charges or is expensive.
水果,fruit,我喜欢这个水果。,I like this fruit.
四,four 4,我喜欢这个四。,I like this four 4.
送,to deliver to carry to give  to present,我喜欢这个送。,I like this to deliver to carry to give  to present.
所以,therefore as a result so,这个所以很好。,This therefore as a result so is good.
他,he or him (used for either sex when the sex is,我有一个他。,I have a he or him (used for either sex when the sex is.
她,she,这个她很漂亮。,This she is beautiful.
它,it,这个它很贵。,This it is expensive.
太,highest greatest too  very extremely,这个太很漂亮。,This highest greatest too  very extremely is beautiful.
踢足球,play soccer,这个踢足球很好。,This play soccer is good.
天气,weather,我喜欢这个天气。,I like this weather.
跳舞,to dance,这个跳舞很好。,This to dance is good.
听,to listen to hear to obey a can (loanword from,这个听很贵。,This to listen to hear to obey a can (loanword from is expensive.
同学,classmate 個|个[gè],这个同学很漂亮。,This classmate 個|个[gè] is beautiful.
外,outside in addition foreign external,这个外很贵。,This outside in addition foreign external is expensive.
完,to finish to be over whole complete entire,这个完很好。,This to finish to be over whole complete entire is good.
玩,toy sth used for amusement curio or antique,我有一个玩。,I have a toy sth used for amusement curio or antique.
晚上,in the evening,我喜欢这个晚上。,I like this in the evening.
喂,hello  hey to feed (sb or,我有一个喂。,I have a hello  hey to feed (sb or.
我,I me my,我喜欢这个我。,I like this I me my.
五,five 5,这个五很好。,This five 5 is good.
西瓜,watermelon,这个西瓜很漂亮。,This watermelon is beautiful.
希望,to wish for to desire hope,我有一个希望。,I have a to wish for to desire hope.
洗,to wash to bathe,我有一个洗。,I have a to wash to bathe.
下,down downwards below lower later next (week,这个下很贵。,This down downwards below lower later next (week is expensive.
下午,afternoon p.m.,我有一个下午。,I have a afternoon p.m..
下雨,to rain rainy,这个下雨很贵。,This to rain rainy is expensive.
先生,teacher Mister  husband doctor,这个先生很漂亮。,This teacher Mister  husband doctor is beautiful.
想,to think to believe to suppose to wish to want to,这个想很漂亮。,This to think to believe to suppose to wish to want to is beautiful.
向,direction orientation to face to turn toward to,这个向很漂亮。,This direction orientation to face to turn toward to is beautiful.
小,small tiny few young,这个小很贵。,This small tiny few young is expensive.
小姐,young lady miss 位[wèi],这个小姐很贵。,This young lady miss 位[wèi] is expensive.
笑,laugh smile,这个笑很贵。,This laugh smile is expensive.
些,some few several,这个些很贵。,This some few several is expensive.
写,to write,这个写很贵。,This to write is expensive.
新,new newly meso-,我喜欢这个新。,I like this new newly meso-.
星期,week,这个星期很好。,This week is good.
姓,family name surname name,这个姓很漂亮。,This family name surname name is beautiful.
休息,rest to rest,我喜欢这个休息。,I like this rest to rest.
学生,student school child,我喜欢这个学生。,I like this student school child.
学校,school,我有一个学校。,I have a school.
雪,snow snowfall  to have the,我有一个雪。,I have a snow snowfall  to have the.
眼睛,eye 雙|双[shuāng],这个眼睛很好。,This eye 雙|双[shuāng] is good.
羊肉,mutton,这个羊肉很贵。,This mutton is expensive.
要,demand ask request coerce,这个要很贵。,This demand ask request coerce is expensive.
也,also too  final particle serving,我喜欢这个也。,I like this also too  final particle serving.
一,one 1 single a  as soon as entire whole,这个一很好。,This one 1 single a  as soon as entire whole is good.
衣服,clothes 套[tào],这个衣服很贵。,This clothes 套[tào] is expensive.
