chinese_word,english_translation,chinese_sentence,english_sentence
阿姨,maternal aunt step-mother childcare worker,我有一个阿姨。,I have a maternal aunt step-mother childcare worker.
啊,modal particle ending sentence showing,我喜欢这个啊。,I like this modal particle ending sentence showing.
矮,low short,这个矮很漂亮。,This low short is beautiful.
安静,quiet peaceful calm,我喜欢这个安静。,I like this quiet peaceful calm.
八,eight 8,我有一个八。,I have a eight 8.
把,to hold to contain to grasp to take hold of a,这个把很贵。,This to hold to contain to grasp to take hold of a is expensive.
爸爸,father 位[wèi],我喜欢这个爸爸。,I like this father 位[wèi].
吧,,这个吧很漂亮。,This  is beautiful.
白,white snowy pure bright empty blank plain,这个白很漂亮。,This white snowy pure bright empty blank plain is beautiful.
百,hundred numerous all kinds of surname Bai,我喜欢这个百。,I like this hundred numerous all kinds of surname Bai.
班,team class squad work shift classifier for groups,我喜欢这个班。,I like this team class squad work shift classifier for groups.
搬,to move to shift to remove to transport to apply,这个搬很漂亮。,This to move to shift to remove to transport to apply is beautiful.
半,half semi- incomplete  and a half,这个半很好。,This half semi- incomplete  and a half is good.
帮忙,to help to lend a hand to do a favor to do a good,这个帮忙很漂亮。,This to help to lend a hand to do a favor to do a good is beautiful.
帮助,assistance aid to help to assist,这个帮助很贵。,This assistance aid to help to assist is expensive.
包,to cover to wrap to hold to include to take,这个包很好。,This to cover to wrap to hold to include to take is good.
杯子,cup glass 支[zhī]枝[zhī],我喜欢这个杯子。,I like this cup glass 支[zhī]枝[zhī].
北方,north the northern part a country China north of,这个北方很好。,This north the northern part a country China north of is good.
北京,Beijing capital of People's Republic of China,这个北京很贵。,This Beijing capital of People's Republic of China is expensive.
被,by,这个被很漂亮。,This by is beautiful.
本,roots or stems of plants origin source this the,我有一个本。,I have a roots or stems of plants origin source this the.
鼻子,nose 隻|只[zhī],这个鼻子很贵。,This nose 隻|只[zhī] is expensive.
比,to,这个比很漂亮。,This to is beautiful.
表示,to express to show to say to state to indicate to,这个表示很漂亮。,This to express to show to say to state to indicate to is beautiful.
表演,play show performance exhibition to perform to,这个表演很漂亮。,This play show performance exhibition to perform to is beautiful.
别,to leave to depart to separate to distinguish to,这个别很好。,This to leave to depart to separate to distinguish to is good.
别人,other people others other person,我喜欢这个别人。,I like this other people others other person.
冰箱,icebox freezer cabinet refrigerator,这个冰箱很好。,This icebox freezer cabinet refrigerator is good.
不客气,you're welcome impolite rude blunt don't,我喜欢这个不客气。,I like this you're welcome impolite rude blunt don't.
不,not no,我有一个不。,I have a not no.
才,ability talent endowment gift an expert only,我喜欢这个才。,I like this ability talent endowment gift an expert only.
菜,dish  vegetables vegetable cuisine,我喜欢这个菜。,I like this dish  vegetables vegetable cuisine.
参加,to participate to take part to join,我有一个参加。,I have a to participate to take part to join.
草,grass straw manuscript draft,这个草很贵。,This grass straw manuscript draft is expensive.
茶,tea tea plant 壺|[hú],我喜欢这个茶。,I like this tea tea plant 壺|[hú].
差,differ from short of to lack poor,这个差很漂亮。,This differ from short of to lack poor is beautiful.
唱歌,to sing a song,这个唱歌很贵。,This to sing a song is expensive.
超市,supermarket,这个超市很好。,This supermarket is good.
城市,city town,这个城市很好。,This city town is good.
吃,to eat to have one's meal to eradicate to destroy,我有一个吃。,I have a to eat to have one's meal to eradicate to destroy.
出,to go out to come out to occur to produce to go,我有一个出。,I have a to go out to come out to occur to produce to go.
厨房,kitchen,这个厨房很好。,This kitchen is good.
除了,besides apart from  in addition to,这个除了很漂亮。,This besides apart from  in addition to is beautiful.
船,a boat vessel ship [sōu]隻|只,这个船很漂亮。,This a boat vessel ship [sōu]隻|只 is beautiful.
春,spring  gay joyful youthful love lust life,这个春很漂亮。,This spring  gay joyful youthful love lust life is beautiful.
次,next in sequence second the second (day time,我喜欢这个次。,I like this next in sequence second the second (day time.
从,from via passing through through  past,这个从很好。,This from via passing through through  past is good.
打算,to plan to intend to calculate plan intention,这个打算很贵。,This to plan to intend to calculate plan intention is expensive.
大,big huge large major great wide deep oldest,这个大很贵。,This big huge large major great wide deep oldest is expensive.
大家,authority everyone,这个大家很漂亮。,This authority everyone is beautiful.
担心,anxious worried uneasy to worry to be anxious,这个担心很贵。,This anxious worried uneasy to worry to be anxious is expensive.
蛋糕,cake 個|个[gè],我喜欢这个蛋糕。,I like this cake 個|个[gè].
但是,but however,这个但是很漂亮。,This but however is beautiful.
当然,only natural as it should be certainly of course,这个当然很漂亮。,This only natural as it should be certainly of course is beautiful.
到,to  until  up to to go to arrive,我有一个到。,I have a to  until  up to to go to arrive.
地,-ly structural particle: used before a verb or,这个地很漂亮。,This -ly structural particle: used before a verb or is beautiful.
的,of structural particle: used before a noun linking it,这个的很好。,This of structural particle: used before a noun linking it is good.
得,structural particle: used after a verb (or adjective as,这个得很好。,This structural particle: used after a verb (or adjective as is good.
灯,lamp light lantern,这个灯很漂亮。,This lamp light lantern is beautiful.
等,to wait for to await,我喜欢这个等。,I like this to wait for to await.
低,low beneath to lower  to let droop to,我有一个低。,I have a low beneath to lower  to let droop to.
弟弟,younger brother 位[wèi],这个弟弟很好。,This younger brother 位[wèi] is good.
地方,region regional (away from the central,这个地方很好。,This region regional (away from the central is good.
第一,first number one,这个第一很好。,This first number one is good.
点,drop  stain spot speck jot dot stroke,这个点很好。,This drop  stain spot speck jot dot stroke is good.
冬,winter,这个冬很好。,This winter is good.
懂,to understand to know,这个懂很好。,This to understand to know is good.
都,all both entirely  each even already,我有一个都。,I have a all both entirely  each even already.
短,short or brief to lack weak point fault,这个短很贵。,This short or brief to lack weak point fault is expensive.
段,paragraph section segment stage,我喜欢这个段。,I like this paragraph section segment stage.
多,many much a lot of numerous multi-,这个多很贵。,This many much a lot of numerous multi- is expensive.
多么,how  what,我有一个多么。,I have a how  what.
多少,number amount somewhat,我有一个多少。,I have a number amount somewhat.
而且,but also moreover in addition,我喜欢这个而且。,I like this but also moreover in addition.
儿子,son,这个儿子很好。,This son is good.
耳朵,ear 個|个[gè]對|[duì],我有一个耳朵。,I have a ear 個|个[gè]對|[duì].
二,two 2 stupid,这个二很贵。,This two 2 stupid is expensive.
方便,convenient to help out to make things easy for,我有一个方便。,I have a convenient to help out to make things easy for.
放,to release to free to let go to put to place to let,这个放很贵。,This to release to free to let go to put to place to let is expensive.
放心,to set one's mind at rest to be at ease to rest,我喜欢这个放心。,I like this to set one's mind at rest to be at ease to rest.
非常,unusual extraordinary extreme very exceptional,我喜欢这个非常。,I like this unusual extraordinary extreme very exceptional.
分,to divide to separate to allocate to distinguish,我有一个分。,I have a to divide to separate to allocate to distinguish.
附近,vicinity nearby neighboring next to,我喜欢这个附近。,I like this vicinity nearby neighboring next to.
敢,to dare daring  may I venture,我喜欢这个敢。,I like this to dare daring  may I venture.
感冒,to catch cold  cold 次,我有一个感冒。,I have a to catch cold  cold 次.
高,high tall above average loud your,我喜欢这个高。,I like this high tall above average loud your.
高兴,happy glad willing  in a cheerful mood,我喜欢这个高兴。,I like this happy glad willing  in a cheerful mood.
哥哥,older brother 位[wèi],我喜欢这个哥哥。,I like this older brother 位[wèi].
个,individual this that size classifier for people or,这个个很贵。,This individual this that size classifier for people or is expensive.
跟,heel to follow closely to go with to marry sb (of,我有一个跟。,I have a heel to follow closely to go with to marry sb (of.
根据,according to based on basis foundation CL:個|个,我有一个根据。,I have a according to based on basis foundation CL:個|个.
更,to change or replace to experience one of the five,这个更很贵。,This to change or replace to experience one of the five is expensive.
公斤,kilogram,这个公斤很漂亮。,This kilogram is beautiful.
公司,company company firm corporation,这个公司很贵。,This company company firm corporation is expensive.
公园,public park,这个公园很好。,This public park is good.
工作,job work construction task 份[fèn],这个工作很好。,This job work construction task 份[fèn] is good.
故事,old practice,这个故事很漂亮。,This old practice is beautiful.
关,mountain pass to close to shut to turn off to,我喜欢这个关。,I like this mountain pass to close to shut to turn off to.
关系,relation relationship to concern to affect to have,这个关系很贵。,This relation relationship to concern to affect to have is expensive.
