chinese_word,french_translation,chinese_sentence,french_sentence
阿姨,tante,这是我的阿姨，她很善良。,"C'est ma tante, elle est gentille."
啊,ah,今天天气真好啊！,"Ah, qu'il fait beau aujourd'hui !"
矮,petit,这个书架太矮了。,Cette étagère est trop petite.
安静,calme,请保持安静。,Veuillez rester calme.
安排,arranger,我已经安排好了会议。,J'ai déjà arrangé la réunion.
安全,sûr,这个地方很安全。,Cet endroit est très sûr.
暗,sombre,房间里太暗了。,La chambre est trop sombre.
按照,selon,请按照说明书操作。,Veuillez suivre les instructions.
八,huit,我有八本书。,J'ai huit livres.
把,tenir,请把门关上。,Ferme la porte s'il te plaît.
爸爸,papa,我爸爸在花园里。,Mon papa est dans le jardin.
吧,d'accord,我们去吃饭吧。,"Allons manger, d'accord ?"
白,blanc,这朵花是白色的。,Cette fleur est blanche.
百,cent,这本书有一百页。,Ce livre a cent pages.
班,classe,我在三年级二班。,Je suis dans la classe 2 en troisième année.
搬,déménager,我们明天要搬家。,Nous déménageons demain.
半,demi,这个蛋糕只吃了一半。,On n'a mangé que la moitié du gâteau.
帮忙,aider,你能帮忙拿一下这个箱子吗？,Peux-tu m'aider à porter cette boîte ?
帮助,aide,谢谢你的帮助。,Merci pour ton aide.
包,emballer,请把礼物包起来。,"S'il vous plaît, emballez le cadeau."
包括,inclure,票价包括午餐。,Le prix inclut le déjeuner.
抱,porter/serrer,妈妈抱着小孩。,La mère porte son enfant dans ses bras.
抱歉,désolé,抱歉，我来晚了。,"Désolé, je suis en retard."
杯子,verre/tasse,这个杯子是空的。,Cette tasse est vide.
北方,nord,我来自中国北方。,Je viens du nord de la Chine.
北京,Pékin,北京是中国的首都。,Pékin est la capitale de la Chine.
倍,fois,这个数字是那个的两倍。,Ce nombre est deux fois plus grand que celui-là.
被,être (passif),信被风吹走了。,La lettre a été emportée par le vent.
本,livre/volume,这本书很有趣。,Ce livre est très intéressant.
本来,à l'origine,我本来想去公园。,"À l'origine, je voulais aller au parc."
笨,stupide,这个问题一点也不笨。,Cette question n'est pas du tout stupide.
鼻子,nez,他的鼻子很高。,Il a un grand nez.
比,plus que,她比我高。,Elle est plus grande que moi.
遍,fois,我读了这本书两遍。,J'ai lu ce livre deux fois.
表格,formulaire,请填写这个表格。,Veuillez remplir ce formulaire.
表示,exprimer,他表示很满意。,Il exprime sa satisfaction.
表演,spectacle,我们今晚有表演。,Nous avons un spectacle ce soir.
别,ne pas,别担心。,Ne t'inquiète pas.
别人,les autres,别人都走了。,Les autres sont tous partis.
冰箱,réfrigérateur,冰箱里有牛奶。,Il y a du lait dans le réfrigérateur.
并且,et aussi,他聪明并且勤奋。,Il est intelligent et aussi travailleur.
博士,docteur,她是物理学博士。,Elle est docteur en physique.
不但,non seulement,他不但会说中文，还会说法语。,"Non seulement il parle chinois, mais aussi français."
不客气,de rien,谢谢。-不客气！,Merci. -De rien!
不,ne pas,我不懂法语。,Je ne parle pas français.
不得不,être obligé de,我不得不去上班。,Je suis obligé d'aller travailler.
不管,peu importe,不管天气怎样，我们都要去。,"Peu importe le temps, nous devons y aller."
部分,partie,这只是问题的一部分。,Ce n'est qu'une partie du problème.
擦,essuyer,请擦一下桌子。,"S'il vous plaît, essuyez la table."
猜,deviner,你猜我今天看见谁了？,Devine qui j'ai vu aujourd'hui ?
才,seulement,他才十岁。,Il n'a que dix ans.
材料,matériel,我需要一些学习材料。,J'ai besoin de matériel d'étude.
菜,plat,这个菜很好吃。,Ce plat est délicieux.
参加,participer,你要参加这个活动吗？,Veux-tu participer à cette activité ?
草,herbe,草地上有很多花。,Il y a beaucoup de fleurs dans l'herbe.
茶,thé,我每天早上喝茶。,Je bois du thé tous les matins.
差,mauvais,他的成绩很差。,Ses notes sont mauvaises.
差不多,presque,我们差不多要到了。,Nous sommes presque arrivés.
唱歌,chanter,她喜欢唱歌。,Elle aime chanter.
超市,supermarché,我要去超市买东西。,Je vais faire des courses au supermarché.
吵,se disputer/bruyant,他们总是在吵架。,Ils se disputent tout le temps.
成功,succès/réussir,她终于成功了。,Elle a finalement réussi.
成熟,mûr/mature,这个水果很成熟了。,Ce fruit est bien mûr.
城市,ville,这是一个美丽的城市。,C'est une belle ville.
乘坐,prendre/monter dans,我们乘坐公共汽车去学校。,Nous prenons le bus pour aller à l'école.
