target_word,similar_words,similarity_count
abaissement,"apaisement, abattement",2
abandon,abandonné,1
abandonner,abandonné,1
abandonné,"abandonner, abandon",2
abasourdi,"abasourdir, assourdi",2
abasourdir,"abasourdi, assourdir",2
abat-jour,abattoir,1
abattement,abaissement,1
abattoir,abat-jour,1
abattre,abattu,1
abattu,abattre,1
abcès,accès,1
aboi,"aboli, abri, aloi",3
aboiement,abonnement,1
aboli,"abolir, aboi",2
abolir,"aboli, abonder, abonner, aborder",4
abondamment,"abondant, abonnement",2
abondance,abondant,1
abondant,"abondance, abondamment",2
abonder,"abonner, aborder, abolir, aboutir",4
abonnement,"aboiement, abondamment",2
abonner,"abonder, abonné, adonner, abolir, aboutir",5
abonné,abonner,1
abord,aborder,1
aborder,"abonder, abord, abolir, aboutir",4
aboutir,"abrutir, aboyer, abonder, abonner, aborder",5
aboyer,aboutir,1
abreuver,"abriter, abréger, abrutir",3
abreuvoir,abrutir,1
abri,aboi,1
abricot,abrupt,1
abriter,abreuver,1
abrupt,abricot,1
abruti,abrutir,1
abrutir,"abruti, aboutir, abreuvoir, abreuver, abréger",5
abréger,"abreuver, abrutir",2
absence,"absent, abstinence, abside, absinthe, absurde",5
absent,"absenter, absence",2
absenter,"absent, abstenir, absorber",3
abside,"absinthe, absence, absoudre",3
absinthe,"abside, absence",2
absorber,"absorbé, absenter",2
absorbé,absorber,1
absorption,abstraction,1
absoudre,abside,1
abstenir,absenter,1
abstinence,absence,1
abstraction,"attraction, absorption",2
abstraire,abstrait,1
abstrait,abstraire,1
absurde,absence,1
abus,"abuser, abusif, anus",3
abuser,"abus, amuser",2
abusif,abus,1
abîme,abîmer,1
abîmer,abîme,1
accablant,accablement,1
accablement,"accablant, accouplement",2
accabler,"accablé, accaparer, accoupler, accumuler, accoter",5
accablé,"accabler, accusé",2
accalmie,accolade,1
accaparer,"accabler, accélérer, accepter, acclamer",4
accentuer,"accoutumer, accoter, accoster",3
acceptable,accessible,1
acceptation,"accusation, acclamation",2
accepter,"accoler, acculer, accuser, accéder, accabler",5
accessible,"accessoire, acceptable",2
accessoire,accessible,1
accident,"accidenté, accidentel",2
accidentel,"accident, accidenté",2
accidenté,"accident, accidentel",2
acclamation,"accusation, acceptation, accélération",3
acclamer,"acclimater, accoler, accoter, acculer, accuser",5
acclimater,acclamer,1
accolade,accalmie,1
accoler,"accoter, acculer, accoupler, accoucher, accumuler",5
accommoder,"accorder, accouder",2
accompli,"accomplir, accroupi",2
accomplir,"accompli, accourir, accoudoir, accoler, accroupir",5
accord,accorder,1
accorder,"accouder, accord, accommoder, accoucher, accoupler",5
accoster,"accoter, accoucher, accoupler, accoutumer, accourir",5
accoter,"accoster, accoler, accoucher, accoupler, accoutumer",5
accouchement,"accouplement, accoutrement, attouchement",3
accoucher,"accoutumer, accoler, accoter, accourir, accoudoir",5
accouder,"accorder, accoutumer, accommoder, accabler, accepter",5
accoudoir,"accoucher, accoupler, accomplir, accroupir, accorder",5
accouplement,"accouchement, accoutrement, accablement",3
accoupler,"accoler, accoutumer, accoter, accourir, accoudoir",5
