target_word,similar_words,similarity_count
a priori,apeurer,1
abaissement,"apaisement, aboutissement, ahurissement, abattement",4
abaisser,"affaisser, apaiser, amasser",3
abandon,abandonné,1
abandonner,abandonné,1
abandonné,"abandonner, abandon",2
abasourdi,"abasourdir, assourdi, assourdir, absurde, absurdité",5
abasourdir,"abasourdi, assourdir",2
abat-jour,abattoir,1
abattement,abaissement,1
abattoir,"abattre, abat-jour",2
abattre,"abattu, abattoir",2
abattu,abattre,1
abcès,accès,1
abdication,admiration,1
abdiquer,astiquer,1
aberrant,"arrivant, arrogant",2
abjection,affection,1
abnégation,agrégation,1
aboi,"aboli, abri, aloi",3
aboiement,"abonnement, avidement",2
aboli,"abolir, aboi",2
abolir,"aboli, abonder, abonner, aborder",4
abondamment,"abondant, abonnement",2
abondance,abondant,1
abondant,"abondance, abondamment",2
abonder,"abonner, aborder, abolir, aboutir",4
abonnement,"aboiement, abondamment",2
abonner,"abonder, abonné, adonner, abolir, aboutir",5
abonné,abonner,1
abord,aborder,1
aborder,"abonder, abord, accorder, absorber, arborer",5
aboutir,"abrutir, aboyer, abonder, abonner, aborder",5
aboutissement,"abaissement, avertissement, ahurissement",3
aboyer,aboutir,1
abreuver,"abreuvoir, abriter, abréger, abrutir",4
abreuvoir,"abreuver, abrutir",2
abri,aboi,1
abricot,abrupt,1
abriter,"abreuver, abrutir",2
abrupt,"abruti, abricot",2
abruptement,attroupement,1
abruti,"abrutir, abrupt",2
abrutir,"abruti, aboutir, abriter, abreuvoir, abreuver",5
abréger,"abreuver, abrutir",2
absence,"absent, absenter, abstinence, abside, absinthe",5
absent,"absenter, absence",2
absenter,"absent, absence, argenter, arpenter, abstenir",5
abside,"absinthe, absence, absoudre",3
absinthe,"abside, absenter, absence",3
absolution,absorption,1
absorber,"absorbé, aborder, absenter, absoudre, arborer",5
absorbé,absorber,1
absorption,"absolution, abstraction",2
absoudre,"absurde, absorber, abside",3
abstenir,absenter,1
abstinence,absence,1
abstraction,"attraction, absorption",2
abstraire,"abstrait, arbitraire",2
abstrait,"abstraire, attrait",2
absurde,"absoudre, abasourdi, absence",3
absurdité,abasourdi,1
abus,"abuser, abusif, anus",3
abuser,"abus, amuser",2
abusif,abus,1
abîme,abîmer,1
abîmer,abîme,1
académie,accalmie,1
accablant,accablement,1
accablement,"aimablement, accablant, accouplement, agréablement, amicalement",5
accabler,"accablé, accoler, acculer, attabler, accaparer",5
accablé,"accabler, accusé",2
accalmie,"académie, accabler, accolade, acclamer",4
accaparer,"accabler, accélérer, accepter, acclamer",4
accent,accident,1
accentuer,"accepter, accoutumer, accoter, accoster, aventurer",5
acceptable,accessible,1
acceptation,"accusation, acclamation",2
accepter,"accoter, accoster, accentuer, acheter, accoler",5
accessible,"accessoire, acceptable",2
accessoire,accessible,1
accident,"accidenté, accidentel, accent",3
accidentel,"accident, accidenté",2
accidenté,"accident, accidentel",2
acclamation,"accusation, acceptation, accélération, accumulation",4
acclamer,"acclimater, accoler, accoter, acculer, accuser",5
acclimater,acclamer,1
accolade,"accoler, accorder, accouder, acclamer, accalmie",5
accoler,"accoter, acculer, accoupler, accorder, accoster",5
accommoder,"accorder, accouder",2
accompli,"accomplir, accroupi",2
accomplir,"accompli, accoupler, accourir, accoudoir, accoler",5
accord,accorder,1
accorder,"accouder, accord, accoler, accoter, accéder",5
accoster,"accoter, accoler, accorder, accouder, accepter",5
accoter,"accoster, accoler, accorder, accouder, accepter",5
accouchement,"accouplement, accoutrement, attouchement",3
accoucher,"accouder, accoupler, accrocher, accoutumer, accoler",5
accouder,"accorder, accoudoir, accoucher, accoupler, accoler",5
accoudoir,"accouder, accourir, accoucher, accoupler, accomplir",5
accouplement,"accouchement, accoutrement, accablement, actuellement, attroupement",5
accoupler,"accoler, accouder, accoucher, acculer, accoutumer",5
accourir,"accoudoir, accouder, accroupir, accoucher, accoupler",5
accoutrement,"accouchement, accouplement, autrement",3
accoutumer,"accoutumé, accouder, accoucher, accoupler, accoter",5
accoutumé,accoutumer,1
accroc,accroché,1
accrocher,"accroché, accoucher, approcher, accroupir, accoler",5
accroché,"accrocher, accroc",2
accroupi,"accroupir, accourir, accompli",3
accroupir,"accroupi, accourir, accrocher, accoudoir, accoupler",5
acculer,"accumuler, accuser, accoler, accabler, accoupler",5
accumulation,"accusation, acclamation, articulation, accélération",4
accumuler,"acculer, accuser, accoler, accabler, accoupler",5
accusateur,"accuser, accoster",2
accusation,"accumulation, acceptation, acclamation",3
accuser,"acculer, accusé, accusateur, accumuler, accoster",5
accusé,"accuser, accès, accablé",3
accès,"abcès, accusé",2
accéder,"accorder, accouder, accélérer, accabler, accepter",5
accélérateur,"accélération, accélérer",2
accélération,"accélérateur, acclamation, accumulation, amélioration",4
accélérer,"accéléré, accélérateur, accéder, accaparer, accoler",5
accéléré,"accélérer, accoler, acculer",3
acharnement,achèvement,1
acharner,"acharné, acheminer, ahaner, acheter, achever",5
acharné,"acharner, achevé",2
acheminer,"acheter, achever, acharner",3
acheter,"acheteur, achever, acheminer, accepter, acharner",5
acheteur,"acheter, acteur, achever, accepter",4
achever,"acheter, achevé, acheteur, acheminer, acharner",5
achevé,"achever, acharné",2
achèvement,"activement, acharnement",2
acide,"aide, aride, avide, acier, aider",5
acier,"acide, aider, aimer",3
acquiescer,acquitter,1
acquis,acquit,1
acquit,"acquis, acuité",2
acquitter,acquiescer,1
acquérir,accourir,1
acrobate,acrobatie,1
acrobatie,acrobate,1
acte,"acteur, apte",2
acteur,"acte, auteur, acheteur, activer",4
actionner,"affectionner, activer, amidonner",3
activement,achèvement,1
activer,"actionner, acteur",2
activité,actualité,1
actualité,activité,1
actuellement,"amoncellement, accouplement",2
acuité,acquit,1
acéré,aéré,1
adaptation,amputation,1
adapter,adopter,1
addition,"audition, adoption, ambition, aviation",4
adepte,adopté,1
adjectif,affectif,1
adjoint,adjudant,1
adjudant,adjoint,1
administrateur,"administratif, administration, administrer",3
administratif,"administration, administrateur",2
administration,"administratif, administrateur",2
administrer,"administré, administrateur",2
administré,administrer,1
admirable,"adorable, amiable",2
admirablement,"aimablement, agréablement, amicalement",3
admirateur,"adorateur, aspirateur, admirer",3
admiratif,admiration,1
admiration,"admiratif, adoration, aspiration, admission, amélioration",5
admirer,admirateur,1
admission,admiration,1
adolescence,adolescent,1
adolescent,adolescence,1
adonner,"abonner, amidonner, adoucir",3
adopter,"adapter, adopté, adorateur, adoucir",4
adoptif,"adoption, adopté",2
adoption,"adoptif, adoration, addition, audition",4
adopté,"adopter, adoptif, adepte",3
adorable,"admirable, agréable",2
adorateur,"admirateur, adorer, armateur, adopter",4
adoration,"admiration, adoption",2
adorer,"adorateur, adoucir",2
adosser,"adresser, adoucir",2
adoucir,"adorer, adonner, adopter, adosser",4
adresse,"adresser, agresser",2
adresser,"adresse, agresser, adosser, agresseur",4
adroitement,affrontement,1
aduler,adulte,1
adulte,"adultère, aduler",2
adultère,"adulte, austère",2
advenir,avenir,1
adversaire,"adverse, anniversaire",2
adverse,"averse, adversaire",2
affable,"affaler, affaibli, affubler, affre, affiche",5
affaibli,"affaiblir, affable",2
affaiblir,"affaibli, affairer, affaisser, affaler, affubler",5
affaire,"affairer, affairé, affre, affirmer, affiche",5
affairer,"affaire, affairé, affaisser, affaler, affamer",5
affairé,"affaire, affairer, affolé, affre, affinité",5
affaisser,"affairer, abaisser, affaler, affamer, affaiblir",5
affaler,"affamer, affoler, affairer, affable, affubler",5
affamer,"affaler, affamé, affairer, affirmer, affaisser",5
affamé,"affamer, affecté",2
affectation,"affection, affirmation, affectionner",3
affecter,"affecté, affectif, affûter, affermir, afficher",5
affectif,"affection, affecté, affecter, adjectif",4
affection,"affectation, affectif, affectionner, affliction, abjection",5
affectionner,"affection, actionner, affectation",3
affecté,"affecter, affectif, affinité, affamé, affilé",5
affermir,"affirmer, affecter, affamer",3
affiche,"afficher, affre, affable, affaire",4
afficher,"affiche, affiner, affirmer, affecter, affaler",5
affilé,"affolé, affinité, affecté",3
affiner,"afficher, affirmer, affairer, affliger, affecter",5
affinité,"affilé, affecté, affairé",3
affirmatif,affirmation,1
affirmation,"affirmatif, affectation",2
affirmer,"affiner, affermir, affamer, afficher, affairer",5
affleurer,"affluer, affliger, affairer, affecter",4
affliction,affection,1
affliger,"affluer, affiner, affleurer, affairer, affaler",5
affluer,"afflux, affliger, affleurer, affaler, affoler",5
afflux,affluer,1
affolant,"affolement, affront",2
affolement,"affolant, affrontement",2
affoler,"affaler, affolé, affubler, affluer, affairer",5
affolé,"affoler, affilé, affairé, affecté",4
affranchi,affranchir,1
affranchir,affranchi,1
affre,"affreux, affaire, affable, affiche, affairé",5
affreusement,"affrontement, amoureusement, anxieusement",3
affreux,affre,1
affront,"affronter, affolant, affût",3
affrontement,"affreusement, affolement, adroitement",3
affronter,"affront, affûter, affecter, affiner, affoler",5
