target_word,similar_words,similarity_count,rule_types
a priori,apeurer,1,"Rule5a_Skeleton, Rule5b_Structural"
abaissement,"apaisement, aboutissement, ahurissement, abattement",4,Rule5b_Structural
abaisser,"affaisser, apaiser, amasser",3,Rule5b_Structural
abandon,abandonné,1,Rule5b_Structural
abandonner,abandonné,1,Rule5b_Structural
abandonné,"abandonner, abandon",2,Rule5b_Structural
abasourdi,"abasourdir, assourdi, assourdir, absurde, absurdité",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
abasourdir,"abasourdi, assourdir",2,Rule5b_Structural
abat-jour,abattoir,1,Rule5b_Structural
abattement,abaissement,1,Rule5b_Structural
abattoir,"abattre, abat-jour",2,"Rule5a_Skeleton, Rule5b_Structural"
abattre,"abattu, abattoir",2,"Rule5a_Skeleton, Rule5b_Structural"
abattu,abattre,1,Rule5b_Structural
abcès,accès,1,Rule2-4_EditDistance
abdication,admiration,1,Rule2-4_EditDistance
abdiquer,astiquer,1,Rule2-4_EditDistance
aberrant,"arrivant, arrogant",2,Rule2-4_EditDistance
abjection,affection,1,Rule2-4_EditDistance
abnégation,agrégation,1,Rule2-4_EditDistance
aboi,"aboli, abri, aloi",3,"Rule2-4_EditDistance, Rule5b_Structural"
aboiement,"abonnement, avidement",2,"Rule2-4_EditDistance, Rule5b_Structural"
aboli,"abolir, aboi",2,Rule5b_Structural
abolir,"aboli, abonder, abonner, aborder",4,Rule5b_Structural
abondamment,"abondant, abonnement",2,Rule5b_Structural
abondance,abondant,1,Rule5b_Structural
abondant,"abondance, abondamment",2,Rule5b_Structural
abonder,"abonner, aborder, abolir, aboutir",4,"Rule2-4_EditDistance, Rule5b_Structural"
abonnement,"aboiement, abondamment",2,Rule5b_Structural
abonner,"abonder, abonné, adonner, abolir, aboutir",5,"Rule2-4_EditDistance, Rule5b_Structural"
abonné,abonner,1,Rule5b_Structural
abord,aborder,1,Rule5b_Structural
aborder,"abonder, abord, accorder, absorber, arborer",5,"Rule2-4_EditDistance, Rule5b_Structural"
aboutir,"abrutir, aboyer, abonder, abonner, aborder",5,"Rule2-4_EditDistance, Rule5b_Structural"
aboutissement,"abaissement, avertissement, ahurissement",3,"Rule2-4_EditDistance, Rule5b_Structural"
aboyer,aboutir,1,Rule5b_Structural
abreuver,"abreuvoir, abriter, abréger, abrutir",4,"Rule5a_Skeleton, Rule5b_Structural"
abreuvoir,"abreuver, abrutir",2,"Rule5a_Skeleton, Rule5b_Structural"
abri,aboi,1,Rule2-4_EditDistance
abricot,abrupt,1,Rule5b_Structural
abriter,"abreuver, abrutir",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
abrupt,"abruti, abricot",2,"Rule2-4_EditDistance, Rule5b_Structural"
abruptement,attroupement,1,Rule5b_Structural
abruti,"abrutir, abrupt",2,"Rule2-4_EditDistance, Rule5b_Structural"
abrutir,"abruti, aboutir, abriter, abreuvoir, abreuver",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
abréger,"abreuver, abrutir",2,"Rule2-4_EditDistance, Rule5b_Structural"
absence,"absent, absenter, abstinence, abside, absinthe",5,Rule5b_Structural
absent,"absenter, absence",2,Rule5b_Structural
absenter,"absent, absence, argenter, arpenter, abstenir",5,"Rule2-4_EditDistance, Rule5b_Structural"
abside,"absinthe, absence, absoudre",3,Rule5b_Structural
absinthe,"abside, absenter, absence",3,"Rule2-4_EditDistance, Rule5b_Structural"
absolution,absorption,1,Rule2-4_EditDistance
absorber,"absorbé, aborder, absenter, absoudre, arborer",5,"Rule2-4_EditDistance, Rule5b_Structural"
absorbé,absorber,1,Rule5b_Structural
absorption,"absolution, abstraction",2,"Rule2-4_EditDistance, Rule5b_Structural"
absoudre,"absurde, absorber, abside",3,"Rule2-4_EditDistance, Rule5b_Structural"
abstenir,absenter,1,Rule2-4_EditDistance
abstinence,absence,1,Rule5b_Structural
abstraction,"attraction, absorption",2,Rule5b_Structural
abstraire,"abstrait, arbitraire",2,Rule5b_Structural
abstrait,"abstraire, attrait",2,Rule5b_Structural
absurde,"absoudre, abasourdi, absence",3,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
absurdité,abasourdi,1,Rule2-4_EditDistance
abus,"abuser, abusif, anus",3,"Rule2-4_EditDistance, Rule5b_Structural"
abuser,"abus, amuser",2,"Rule2-4_EditDistance, Rule5b_Structural"
abusif,abus,1,Rule5b_Structural
abîme,abîmer,1,Rule5b_Structural
abîmer,abîme,1,Rule5b_Structural
académie,accalmie,1,Rule2-4_EditDistance
accablant,accablement,1,Rule5b_Structural
accablement,"aimablement, accablant, accouplement, agréablement, amicalement",5,"Rule2-4_EditDistance, Rule5b_Structural"
accabler,"accablé, accoler, acculer, attabler, accaparer",5,"Rule2-4_EditDistance, Rule5b_Structural"
accablé,"accabler, accusé",2,Rule5b_Structural
accalmie,"académie, accabler, accolade, acclamer",4,Rule2-4_EditDistance
accaparer,"accabler, accélérer, accepter, acclamer",4,"Rule2-4_EditDistance, Rule5b_Structural"
accent,accident,1,Rule5b_Structural
accentuer,"accepter, accoutumer, accoter, accoster, aventurer",5,"Rule2-4_EditDistance, Rule5b_Structural"
acceptable,accessible,1,Rule2-4_EditDistance
acceptation,"accusation, acclamation",2,"Rule2-4_EditDistance, Rule5b_Structural"
accepter,"accoter, accoster, accentuer, acheter, accoler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accessible,"accessoire, acceptable",2,Rule2-4_EditDistance
accessoire,accessible,1,Rule2-4_EditDistance
accident,"accidenté, accidentel, accent",3,"Rule5a_Skeleton, Rule5b_Structural"
accidentel,"accident, accidenté",2,Rule5b_Structural
accidenté,"accident, accidentel",2,"Rule5a_Skeleton, Rule5b_Structural"
acclamation,"accusation, acceptation, accélération, accumulation",4,"Rule2-4_EditDistance, Rule5b_Structural"
acclamer,"acclimater, accoler, accoter, acculer, accuser",5,Rule5b_Structural
acclimater,acclamer,1,Rule5b_Structural
accolade,"accoler, accorder, accouder, acclamer, accalmie",5,"Rule2-4_EditDistance, Rule5b_Structural"
accoler,"accoter, acculer, accoupler, accorder, accoster",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
accommoder,"accorder, accouder",2,Rule5b_Structural
accompli,"accomplir, accroupi",2,"Rule2-4_EditDistance, Rule5b_Structural"
accomplir,"accompli, accoupler, accourir, accoudoir, accoler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accord,accorder,1,Rule5b_Structural
accorder,"accouder, accord, accoler, accoter, accéder",5,"Rule2-4_EditDistance, Rule5b_Structural"
accoster,"accoter, accoler, accorder, accouder, accepter",5,"Rule2-4_EditDistance, Rule5b_Structural"
accoter,"accoster, accoler, accorder, accouder, accepter",5,"Rule2-4_EditDistance, Rule5b_Structural"
accouchement,"accouplement, accoutrement, attouchement",3,Rule2-4_EditDistance
accoucher,"accouder, accoupler, accrocher, accoutumer, accoler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accouder,"accorder, accoudoir, accoucher, accoupler, accoler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
accoudoir,"accouder, accourir, accoucher, accoupler, accomplir",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
accouplement,"accouchement, accoutrement, accablement, actuellement, attroupement",5,"Rule2-4_EditDistance, Rule5b_Structural"
accoupler,"accoler, accouder, accoucher, acculer, accoutumer",5,"Rule2-4_EditDistance, Rule5b_Structural"
accourir,"accoudoir, accouder, accroupir, accoucher, accoupler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accoutrement,"accouchement, accouplement, autrement",3,"Rule2-4_EditDistance, Rule5b_Structural"
accoutumer,"accoutumé, accouder, accoucher, accoupler, accoter",5,Rule5b_Structural
accoutumé,accoutumer,1,Rule5b_Structural
accroc,accroché,1,Rule5b_Structural
accrocher,"accroché, accoucher, approcher, accroupir, accoler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accroché,"accrocher, accroc",2,Rule5b_Structural
accroupi,"accroupir, accourir, accompli",3,"Rule2-4_EditDistance, Rule5b_Structural"
accroupir,"accroupi, accourir, accrocher, accoudoir, accoupler",5,"Rule2-4_EditDistance, Rule5b_Structural"
acculer,"accumuler, accuser, accoler, accabler, accoupler",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
accumulation,"accusation, acclamation, articulation, accélération",4,"Rule2-4_EditDistance, Rule5b_Structural"
accumuler,"acculer, accuser, accoler, accabler, accoupler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accusateur,"accuser, accoster",2,"Rule5a_Skeleton, Rule5b_Structural"
accusation,"accumulation, acceptation, acclamation",3,Rule5b_Structural
accuser,"acculer, accusé, accusateur, accumuler, accoster",5,"Rule2-4_EditDistance, Rule5b_Structural"
accusé,"accuser, accès, accablé",3,"Rule5a_Skeleton, Rule5b_Structural"
accès,"abcès, accusé",2,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
accéder,"accorder, accouder, accélérer, accabler, accepter",5,"Rule5a_Skeleton, Rule5b_Structural"
accélérateur,"accélération, accélérer",2,"Rule2-4_EditDistance, Rule5b_Structural"
accélération,"accélérateur, acclamation, accumulation, amélioration",4,"Rule2-4_EditDistance, Rule5b_Structural"
accélérer,"accéléré, accélérateur, accéder, accaparer, accoler",5,"Rule2-4_EditDistance, Rule5b_Structural"
accéléré,"accélérer, accoler, acculer",3,"Rule5a_Skeleton, Rule5b_Structural"
acharnement,achèvement,1,Rule5b_Structural
acharner,"acharné, acheminer, ahaner, acheter, achever",5,Rule5b_Structural
acharné,"acharner, achevé",2,Rule5b_Structural
acheminer,"acheter, achever, acharner",3,Rule5b_Structural
acheter,"acheteur, achever, acheminer, accepter, acharner",5,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
acheteur,"acheter, acteur, achever, accepter",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
achever,"acheter, achevé, acheteur, acheminer, acharner",5,"Rule2-4_EditDistance, Rule5b_Structural"
achevé,"achever, acharné",2,Rule5b_Structural
achèvement,"activement, acharnement",2,"Rule2-4_EditDistance, Rule5b_Structural"
acide,"aide, aride, avide, acier, aider",5,"Rule2-4_EditDistance, Rule5b_Structural"
acier,"acide, aider, aimer",3,Rule2-4_EditDistance
acquiescer,acquitter,1,Rule5b_Structural
acquis,acquit,1,Rule2-4_EditDistance
acquit,"acquis, acuité",2,Rule2-4_EditDistance
acquitter,acquiescer,1,Rule5b_Structural
acquérir,accourir,1,Rule2-4_EditDistance
acrobate,acrobatie,1,"Rule5a_Skeleton, Rule5b_Structural"
acrobatie,acrobate,1,"Rule5a_Skeleton, Rule5b_Structural"
acte,"acteur, apte",2,"Rule2-4_EditDistance, Rule5b_Structural"
acteur,"acte, auteur, acheteur, activer",4,"Rule2-4_EditDistance, Rule5b_Structural"
actionner,"affectionner, activer, amidonner",3,"Rule2-4_EditDistance, Rule5b_Structural"
activement,achèvement,1,Rule2-4_EditDistance
activer,"actionner, acteur",2,Rule5b_Structural
activité,actualité,1,Rule5b_Structural
actualité,activité,1,Rule5b_Structural
actuellement,"amoncellement, accouplement",2,"Rule2-4_EditDistance, Rule5b_Structural"
acuité,acquit,1,Rule2-4_EditDistance
acéré,aéré,1,Rule5b_Structural
adaptation,amputation,1,Rule2-4_EditDistance
adapter,adopter,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
addition,"audition, adoption, ambition, aviation",4,Rule2-4_EditDistance
adepte,adopté,1,"Rule5a_Skeleton, Rule2-4_EditDistance"
adjectif,affectif,1,Rule2-4_EditDistance
adjoint,adjudant,1,Rule5b_Structural
adjudant,adjoint,1,Rule5b_Structural
administrateur,"administratif, administration, administrer",3,"Rule2-4_EditDistance, Rule5b_Structural"
administratif,"administration, administrateur",2,Rule5b_Structural
administration,"administratif, administrateur",2,"Rule2-4_EditDistance, Rule5b_Structural"
administrer,"administré, administrateur",2,Rule5b_Structural
administré,administrer,1,Rule5b_Structural
admirable,"adorable, amiable",2,Rule5b_Structural
admirablement,"aimablement, agréablement, amicalement",3,Rule5b_Structural
admirateur,"adorateur, aspirateur, admirer",3,"Rule2-4_EditDistance, Rule5b_Structural"
admiratif,admiration,1,Rule5b_Structural
admiration,"admiratif, adoration, aspiration, admission, amélioration",5,"Rule2-4_EditDistance, Rule5b_Structural"
admirer,admirateur,1,Rule5b_Structural
admission,admiration,1,Rule5b_Structural
adolescence,adolescent,1,Rule5b_Structural
adolescent,adolescence,1,Rule5b_Structural
adonner,"abonner, amidonner, adoucir",3,"Rule2-4_EditDistance, Rule5b_Structural"
adopter,"adapter, adopté, adorateur, adoucir",4,"Rule5a_Skeleton, Rule2-4_EditDistance, Rule5b_Structural"
adoptif,"adoption, adopté",2,Rule5b_Structural
