target_word,similar_words_with_scores
abaissement,"apaisement (0.621), abattement (0.580)"
abandon,abandonné (0.724)
abandonner,abandonné (0.727)
abandonné,"abandonner (0.727), abandon (0.724)"
abasourdi,"abasourdir (0.822), assourdi (0.640)"
abasourdir,"abasourdi (0.822), assourdir (0.657)"
abat-jour,abattoir (0.487)
abattement,abaissement (0.580)
abattoir,abat-jour (0.487)
abattre,abattu (0.647)
abattu,abattre (0.647)
abcès,accès (0.570)
aboi,"aboli (0.631), abri (0.525), aloi (0.500)"
aboiement,abonnement (0.642)
aboli,"abolir (0.767), aboi (0.631)"
abolir,"aboli (0.767), abonder (0.438), abonner (0.438), aborder (0.438)"
abondamment,"abondant (0.630), abonnement (0.589)"
abondance,abondant (0.707)
abondant,"abondance (0.707), abondamment (0.630)"
abonder,"abonner (0.686), aborder (0.671), abolir (0.438), aboutir (0.429)"
abonnement,"aboiement (0.642), abondamment (0.589)"
abonner,"abonder (0.686), abonné (0.647), adonner (0.643), abolir (0.438), aboutir (0.429)"
abonné,abonner (0.647)
abord,aborder (0.669)
aborder,"abonder (0.671), abord (0.669), abolir (0.438), aboutir (0.429)"
aboutir,"abrutir (0.657), aboyer (0.438), abonder (0.429), abonner (0.429), aborder (0.429)"
aboyer,aboutir (0.438)
abreuver,"abriter (0.488), abréger (0.488), abrutir (0.430)"
abreuvoir,abrutir (0.484)
abri,aboi (0.525)
abricot,abrupt (0.438)
abriter,abreuver (0.488)
abrupt,abricot (0.438)
abruti,abrutir (0.787)
abrutir,"abruti (0.787), aboutir (0.657), abreuvoir (0.484), abreuver (0.430), abréger (0.429)"
abréger,"abreuver (0.488), abrutir (0.429)"
absence,"absent (0.647), abstinence (0.580), abside (0.438), absinthe (0.430), absurde (0.429)"
absent,"absenter (0.700), absence (0.647)"
absenter,"absent (0.700), abstenir (0.509), absorber (0.479)"
abside,"absinthe (0.512), absence (0.438), absoudre (0.438)"
absinthe,"abside (0.512), absence (0.430)"
absorber,"absorbé (0.681), absenter (0.479)"
absorbé,absorber (0.681)
absorption,abstraction (0.540)
absoudre,abside (0.438)
abstenir,absenter (0.509)
abstinence,absence (0.580)
abstraction,"attraction (0.639), absorption (0.540)"
abstraire,abstrait (0.707)
abstrait,abstraire (0.707)
absurde,absence (0.429)
abus,"abuser (0.625), abusif (0.625), anus (0.500)"
abuser,"abus (0.625), amuser (0.613)"
abusif,abus (0.625)
abîme,abîmer (0.767)
abîmer,abîme (0.767)
accablant,accablement (0.618)
accablement,"accablant (0.618), accouplement (0.600)"
accabler,"accablé (0.681), accaparer (0.538), accoupler (0.527), accumuler (0.527), accoter (0.488)"
accablé,"accabler (0.681), accusé (0.438)"
accalmie,accolade (0.423)
