target_word,similar_words
abaissement,"apaisement, abattement"
abandon,abandonné
abandonner,abandonné
abandonné,"abandonner, abandon"
abasourdi,"abasourdir, assourdi"
abasourdir,"abasourdi, assourdir"
abat-jour,abattoir
abattement,abaissement
abattoir,abat-jour
abattre,abattu
abattu,abattre
abcès,accès
aboi,"aboli, abri, aloi"
aboiement,abonnement
aboli,"abolir, aboi"
abolir,"aboli, abonder, abonner, aborder"
abondamment,"abondant, abonnement"
abondance,abondant
abondant,"abondance, abondamment"
abonder,"abonner, aborder, abolir, aboutir"
abonnement,"aboiement, abondamment"
abonner,"abonder, abonné, adonner, abolir, aboutir"
abonné,abonner
abord,aborder
aborder,"abonder, abord, abolir, aboutir"
aboutir,"abrutir, aboyer, abonder, abonner, aborder"
aboyer,aboutir
abreuver,"abriter, abréger, abrutir"
abreuvoir,abrutir
abri,aboi
abricot,abrupt
abriter,abreuver
abrupt,abricot
abruti,abrutir
abrutir,"abruti, aboutir, abreuvoir, abreuver, abréger"
abréger,"abreuver, abrutir"
absence,"absent, abstinence, abside, absinthe, absurde"
absent,"absenter, absence"
absenter,"absent, abstenir, absorber"
abside,"absinthe, absence, absoudre"
absinthe,"abside, absence"
absorber,"absorbé, absenter"
absorbé,absorber
absorption,abstraction
absoudre,abside
abstenir,absenter
abstinence,absence
abstraction,"attraction, absorption"
abstraire,abstrait
abstrait,abstraire
absurde,absence
abus,"abuser, abusif, anus"
abuser,"abus, amuser"
abusif,abus
abîme,abîmer
abîmer,abîme
accablant,accablement
accablement,"accablant, accouplement"
accabler,"accablé, accaparer, accoupler, accumuler, accoter"
accablé,"accabler, accusé"
accalmie,accolade
accaparer,"accabler, accélérer, accepter, acclamer"
accentuer,"accoutumer, accoter, accoster"
acceptable,accessible
acceptation,"accusation, acclamation"
accepter,"accoler, acculer, accuser, accéder, accabler"
accessible,"accessoire, acceptable"
accessoire,accessible
accident,"accidenté, accidentel"
accidentel,"accident, accidenté"
accidenté,"accident, accidentel"
acclamation,"accusation, acceptation, accélération"
acclamer,"acclimater, accoler, accoter, acculer, accuser"
acclimater,acclamer
accolade,accalmie
accoler,"accoter, acculer, accoupler, accoucher, accumuler"
accommoder,"accorder, accouder"
accompli,"accomplir, accroupi"
accomplir,"accompli, accourir, accoudoir, accoler, accroupir"
accord,accorder
accorder,"accouder, accord, accommoder, accoucher, accoupler"
accoster,"accoter, accoucher, accoupler, accoutumer, accourir"
accoter,"accoster, accoler, accoucher, accoupler, accoutumer"
accouchement,"accouplement, accoutrement, attouchement"
accoucher,"accoutumer, accoler, accoter, accourir, accoudoir"
accouder,"accorder, accoutumer, accommoder, accabler, accepter"
accoudoir,"accoucher, accoupler, accomplir, accroupir, accorder"
accouplement,"accouchement, accoutrement, accablement"
accoupler,"accoler, accoutumer, accoter, accourir, accoudoir"
accourir,"accoucher, accoupler, accomplir, accoler, accoter"
accoutrement,"accouchement, accouplement"
accoutumer,"accoutumé, accouder, accoucher, accoupler, accoter"
accoutumé,accoutumer
accroc,accroché
accrocher,"accroché, accroupir, accoler, accoter, accorder"
accroché,"accrocher, accroc"
accroupi,"accroupir, accompli"
accroupir,"accroupi, accrocher, accoudoir, accoupler, accomplir"
acculer,"accumuler, accuser, accoler, accepter, acclamer"
accumulation,accusation
accumuler,"acculer, accuser, accoler, accabler, accoupler"
accusateur,"accuser, accoster"
accusation,"accumulation, acceptation, acclamation"
accuser,"acculer, accusé, accusateur, accumuler, accabler"
accusé,"accuser, accablé"
accès,abcès
accéder,"accélérer, accabler, accepter, acclamer, accoster"
accélérateur,accélérer
accélération,acclamation
accélérer,"accéléré, accélérateur, accéder, accaparer, accoler"
accéléré,accélérer
acharnement,achèvement
acharner,"acharné, acheminer, acheter, achever"
acharné,"acharner, achevé"
acheminer,"acheter, achever, acharner"
acheter,"acheteur, achever, acheminer, acharner"
acheteur,acheter
achever,"acheter, achevé, acheminer, acharner"
achevé,"achever, acharné"
achèvement,acharnement
acide,"aide, aride, avide"
acquiescer,acquitter
acquis,acquit
acquit,acquis
acquitter,acquiescer
acrobate,acrobatie
acrobatie,acrobate
acte,"acteur, apte"
acteur,"acte, auteur, activer"
actionner,activer
activer,"actionner, acteur"
activité,actualité
actualité,activité
acéré,aéré
adapter,adopter
addition,audition
adjoint,adjudant
adjudant,adjoint
administrateur,administrer
administratif,administration
administration,administratif
administrer,"administré, administrateur"
administré,administrer
admirateur,"adorateur, admirer"
admiratif,admiration
admiration,"admiratif, adoration, admission"
admirer,admirateur
admission,admiration
adolescence,adolescent
adolescent,adolescence
adonner,"abonner, amidonner, adoucir"
adopter,"adapter, adopté, adorateur, adoucir"
adoptif,"adoption, adopté"
adoption,adoptif
adopté,"adopter, adoptif"
adorateur,"admirateur, adorer, adopter"
adoration,admiration
adorer,"adorateur, adoucir"
adosser,adoucir
adoucir,"adorer, adonner, adopter, adosser"
adresse,adresser
adresser,"adresse, agresser"
advenir,avenir
adversaire,adverse
adverse,"averse, adversaire"
affable,"affre, affiche"
affaibli,affaiblir
affaiblir,"affaibli, affairer, affaisser, affaler, affubler"
affaire,"affairer, affairé, affiche"
affairer,"affaire, affairé, affaiblir, affleurer, affluer"
affairé,"affaire, affairer, affolé, affinité, affecté"
affaisser,"affaler, affamer, affaiblir, affiner, afficher"
affaler,"affamer, affoler, affaisser, affaiblir, affecter"
affamer,"affaler, affamé, affaisser, affecter, afficher"
affamé,"affamer, affecté"
affectation,"affection, affirmation"
affecter,"affecté, affectif, affermir, affronter, affaler"
affectif,"affection, affecté, affecter"
affection,"affectation, affectif, affliction"
affecté,"affecter, affectif, affinité, affamé, affilé"
affermir,"affirmer, affecter, affamer"
affiche,"afficher, affre, affable, affaire"
afficher,"affiche, affaler, affamer, affluer, affoler"
affilé,"affolé, affinité, affecté"
affiner,"affecter, affubler, affaisser, affronter"
affinité,"affilé, affecté, affairé"
affirmatif,affirmation
affirmation,"affirmatif, affectation"
affirmer,"affermir, affaler, affluer, affoler, affûter"
affleurer,"affliger, affairer, affecter"
affliction,affection
affliger,"affleurer, affaler, affamer, affoler, affûter"
affluer,"afflux, affairer, affecter, afficher, affirmer"
afflux,affluer
affolant,"affolement, affront"
affolement,"affolant, affrontement"
affoler,"affaler, affolé, affairer, affecter, afficher"
affolé,"affoler, affilé, affairé, affecté"
affranchi,affranchir
affranchir,affranchi
affre,"affreux, affable, affiche"
affreusement,affrontement
affreux,affre
affront,"affronter, affolant, affût"
affrontement,"affreusement, affolement"
affronter,"affront, affûter, affecter, affiner, affoler"
affubler,"affamer, affiner, affluer, affûter, affairer"
affût,"affûter, affront"
affûter,"affût, affronter, affairer, afficher, affirmer"
agacement,agencement
agence,agencer
agencement,"agacement, avancement"
agencer,agence
agenouiller,agenouillé
agenouillé,agenouiller
agent,argent
agile,"argile, aile, asile, aigle"
agilité,agité
agitateur,agiter
agiter,agitateur
agité,agilité
agneau,anneau
agrafe,"agrafer, agréable"
agrafer,"agrafe, agrandir, agresser, agripper"
agrandir,agrafer
agresser,"agresseur, adresser, agressif, agréer, agrafer"
agresseur,agresser
agressif,"agression, agresser"
agression,agressif
agricole,agréable
agriculteur,agriculture
agriculture,agriculteur
agripper,"agréer, agrafer, agresser"
agréable,"agricole, agrafe"
agréer,"agresser, agripper"
agrément,agrémenter
agrémenter,agrément
ahuri,ahurir
ahurir,ahuri
ahurissant,ahurissement
ahurissement,ahurissant
aide,"aider, acide, aride, avide, aile"
aider,"aide, aimer"
aigle,"aile, aigre, angle, aiguille, agile"
aigre,"aigri, aigreur, aire, aigle, aigrette"
aigrelet,aigrette
aigrette,"aigrelet, aigre"
aigreur,aigre
aigri,"aigrir, aigre, amaigri"
aigrir,"aigri, aiguiser"
aiguillage,aiguille
aiguille,"aiguiller, aiguillon, aiguillage, anguille, aigle"
aiguiller,"aiguille, aiguillon"
aiguillon,"aiguille, aiguiller"
aiguiser,"aiguisé, aigrir"
aiguisé,aiguiser
aile,"ailé, aigle, agile, asile, aide"
ailé,"aile, aimé, aisé"
aimable,amiable
aimant,"aimanter, amant"
aimanter,"aimant, aimer"
aimer,"animer, amer, aider, armer, aimanter"
aimé,"animé, ailé, aisé, armé"
aine,"aide, aile, aire, aise, aîné"
aire,"aigre, aide, aile, aine, aise"
aisance,aise
aise,"aisé, aide, aile, aine, aire"
aisé,"aise, avisé, ailé, aimé"
ajuster,ajusté
ajusté,ajuster
alangui,alanguir
alanguir,alangui
alarme,"alarmer, arme"
alarmer,"alarme, armer"
alchimie,alchimiste
alchimiste,alchimie
alentour,alerter
alerte,"alerter, alerté"
alerter,"alerte, alerté, alentour"
alerté,"alerte, alerter"
algue,algèbre
algèbre,algue
alignement,aliment
aligner,"aliéner, aligné, alimenter"
aligné,aligner
aliment,"alimenter, alignement"
alimentation,augmentation
alimenter,"aliment, aligner, aliéner"
aliéner,"aligner, alimenter"
allant,alléchant
aller,"allier, allonger, allécher, alléguer"
allier,"aller, altier, allonger, allécher, alléguer"
allié,allongé
allo,allô
allocution,allusion
allonger,"allongé, aller, allier, allumer, allécher"
allongé,"allonger, allié, allumé"
allouer,allécher
allumer,"allumé, allonger, allécher, alléguer"
allumé,"allumer, allongé"
allusion,allocution
allègre,"allée, allégorie"
allègrement,allégrement
alléchant,allant
allécher,"aller, allier, allouer, allumer, allonger"
allée,allègre
alléger,alléguer
allégorie,allègre
allégrement,allègrement
alléguer,"alléger, aller, allier, allumer, allonger"
allô,allo
aloi,aboi
alternance,alternative
alternative,alternance
alterner,altier
altier,"allier, alterner"
altitude,"aptitude, attitude"
amadou,amadouer
amadouer,"amadou, amarrer, amasser, amandier, amateur"
amaigri,aigri
amande,"amante, amende, amazone"
amandier,"amarrer, amasser, amadouer"
amant,"amante, aimant, amont, avant"
amante,"amant, amande, amazone"
