target_word,similar_words_with_scores
a priori,apeurer (0.125)
abaisser,"apaiser (0.547), amasser (0.513)"
abasourdi,absurde (0.440)
abattoir,abattre (0.560)
abattre,"abattu (0.647), abattoir (0.560)"
abattu,abattre (0.647)
abcès,accès (0.570)
aboi,"aboli (0.631), abri (0.525), aloi (0.500)"
aboli,"abolir (0.767), aboi (0.631)"
abolir,"aboli (0.767), abonder (0.438), abonner (0.438), aborder (0.438)"
abonder,"abonner (0.686), aborder (0.671), abolir (0.438), aboutir (0.429)"
abonner,"abonder (0.686), abonné (0.647), adonner (0.643), abolir (0.438), aboutir (0.429)"
abonné,abonner (0.647)
abord,aborder (0.669)
aborder,"abonder (0.671), abord (0.669), accorder (0.572), absorber (0.513), arborer (0.493)"
aboutir,"abrutir (0.657), aboyer (0.438), abonder (0.429), abonner (0.429), aborder (0.429)"
aboyer,aboutir (0.438)
abreuver,"abreuvoir (0.656), abriter (0.488), abréger (0.488)"
abreuvoir,abreuver (0.656)
abri,aboi (0.525)
abricot,abrupt (0.438)
abriter,"abreuver (0.488), abrutir (0.486)"
abrupt,"abruti (0.580), abricot (0.438)"
abruti,"abrutir (0.787), abrupt (0.580)"
abrutir,"abruti (0.787), aboutir (0.657), abriter (0.486), abréger (0.429)"
abréger,"abreuver (0.488), abrutir (0.429)"
absence,"absent (0.647), absenter (0.610), abside (0.438), absinthe (0.430), absurde (0.429)"
absent,"absenter (0.700), absence (0.647)"
absenter,"absent (0.700), absence (0.610), assener (0.488)"
abside,"absinthe (0.512), absence (0.438), absoudre (0.438)"
absinthe,"abside (0.512), absence (0.430)"
absorber,"absorbé (0.681), aborder (0.513), arborer (0.438)"
absorbé,absorber (0.681)
absoudre,"absurde (0.480), abside (0.438)"
abstrait,attrait (0.572)
absurde,"absoudre (0.480), abasourdi (0.440), absence (0.429)"
abus,"abuser (0.625), abusif (0.625), anus (0.500)"
abuser,"abus (0.625), amuser (0.613)"
abusif,abus (0.625)
abîme,abîmer (0.767)
abîmer,abîme (0.767)
accabler,"accablé (0.681), accoler (0.597), acculer (0.597), accoter (0.488), accuser (0.488)"
accablé,"accabler (0.681), accusé (0.438)"
accent,accident (0.612)
accepter,"accoter (0.597), acheter (0.526), accoler (0.488), acculer (0.488), accuser (0.488)"
accident,"accidenté (0.813), accent (0.612)"
accidenté,accident (0.813)
acclamer,"accoler (0.488), accoter (0.488), acculer (0.488), accuser (0.488), accéder (0.488)"
accolade,accoler (0.560)
accoler,"accoter (0.686), acculer (0.671), accorder (0.610), accoster (0.610), accouder (0.610)"
accord,accorder (0.700)
accorder,"accord (0.700), accoler (0.610), accoter (0.610), accéder (0.597), aborder (0.572)"
accoster,"accoter (0.718), accoler (0.610), accuser (0.538), acculer (0.488), accéder (0.488)"
accoter,"accoster (0.718), accoler (0.686), accorder (0.610), accouder (0.610), accepter (0.597)"
accouder,"accoudoir (0.656), accoler (0.610), accoter (0.610), accéder (0.597), acculer (0.538)"
accoudoir,"accouder (0.656), accéder (0.386)"
accourir,"accoler (0.501), accoter (0.501), acculer (0.430), accuser (0.430)"
accroc,accroché (0.700)
accroché,accroc (0.700)
acculer,"accuser (0.686), accoler (0.671), accabler (0.597), accouder (0.538), accepter (0.488)"
accusateur,accoster (0.462)
accuser,"acculer (0.686), accusé (0.647), accoster (0.538), accouder (0.538), accabler (0.488)"
accusé,"accuser (0.647), accès (0.500), accablé (0.438)"
accès,"abcès (0.570), accusé (0.500)"
accéder,"accorder (0.597), accouder (0.597), accabler (0.488), accepter (0.488), acclamer (0.488)"
accéléré,"accoler (0.417), acculer (0.417)"
acharner,"acharné (0.681), ahaner (0.513), acheter (0.488), achever (0.488)"
acharné,"acharner (0.681), achevé (0.438)"
acheter,"acheteur (0.743), achever (0.686), accepter (0.526), acharner (0.488)"
acheteur,"acheter (0.743), acteur (0.600), achever (0.551)"
achever,"acheter (0.686), achevé (0.647), acheteur (0.551), acharner (0.488)"
achevé,"achever (0.647), acharné (0.438)"
acide,"aide (0.591), aride (0.570), avide (0.570), acier (0.510), aider (0.430)"
acier,"acide (0.510), aider (0.395), aimer (0.395)"
acquis,acquit (0.740)
acquit,"acquis (0.740), acuité (0.513)"
acrobate,acrobatie (0.762)
acrobatie,acrobate (0.762)
acte,"acteur (0.625), apte (0.500)"
acteur,"acte (0.625), auteur (0.613), acheteur (0.600), activer (0.438)"
activer,acteur (0.438)
acuité,acquit (0.513)
acéré,aéré (0.591)
adapter,adopter (0.657)
adepte,adopté (0.453)
adjoint,adjudant (0.488)
adjudant,adjoint (0.488)
adonner,"abonner (0.643), adoucir (0.429)"
adopter,"adapter (0.657), adopté (0.647), adoucir (0.429)"
adoptif,"adoption (0.681), adopté (0.647)"
adoption,adoptif (0.681)
adopté,"adopter (0.647), adoptif (0.647), adepte (0.453)"
adorateur,adorer (0.505)
adorer,"adorateur (0.505), adoucir (0.438)"
adosser,"adresser (0.585), adoucir (0.429)"
adoucir,"adorer (0.438), adonner (0.429), adopter (0.429), adosser (0.429)"
adresse,"adresser (0.802), agresser (0.510)"
adresser,"adresse (0.802), adosser (0.585)"
aduler,adulte (0.580)
adulte,"adultère (0.637), aduler (0.580)"
adultère,"adulte (0.637), austère (0.513)"
advenir,avenir (0.661)
adverse,averse (0.661)
affable,"affaler (0.600), affaibli (0.585), affubler (0.560), affre (0.449), affiche (0.429)"
affaibli,affable (0.585)
affaiblir,affubler (0.464)
affaire,"affairer (0.802), affairé (0.764), affre (0.580), affirmer (0.463), affiche (0.429)"
affairer,"affaire (0.802), affairé (0.681), affaler (0.610), affamer (0.610), affiner (0.538)"
affairé,"affaire (0.764), affairer (0.681), affolé (0.438), affre (0.434), affinité (0.430)"
affaler,"affamer (0.686), affoler (0.671), affairer (0.610), affable (0.600), affubler (0.597)"
affamer,"affaler (0.686), affamé (0.647), affairer (0.610), affirmer (0.597), affecter (0.488)"
affamé,"affamer (0.647), affecté (0.438)"
affecter,"affecté (0.681), affûter (0.597), affaler (0.488), affamer (0.488), affiner (0.488)"
affectif,affecté (0.681)
affecté,"affecter (0.681), affectif (0.681), affinité (0.488), affamé (0.438), affilé (0.438)"
affermir,"affirmer (0.602), affamer (0.476)"
affiche,"afficher (0.802), affre (0.449), affable (0.429), affaire (0.429)"
afficher,"affiche (0.802), affiner (0.610), affaler (0.488), affamer (0.488), affluer (0.488)"
affilé,"affolé (0.647), affinité (0.512), affecté (0.438)"
affiner,"afficher (0.610), affirmer (0.610), affairer (0.538), affliger (0.538), affecter (0.488)"
affinité,"affilé (0.512), affecté (0.488), affairé (0.430)"
affirmer,"affiner (0.610), affermir (0.602), affamer (0.597), affaler (0.488), affluer (0.488)"
affliger,"affluer (0.610), affiner (0.538), affaler (0.488), affamer (0.488), affoler (0.488)"
affluer,"afflux (0.647), affliger (0.610), affaler (0.550), affoler (0.550), affairer (0.488)"
afflux,affluer (0.647)
affolant,affront (0.488)
affoler,"affaler (0.671), affolé (0.647), affubler (0.597), affluer (0.550), affairer (0.488)"
affolé,"affoler (0.647), affilé (0.647), affairé (0.438), affecté (0.438)"
affre,"affreux (0.669), affaire (0.580), affable (0.449), affiche (0.449), affairé (0.434)"
affreux,affre (0.669)
affront,"affolant (0.488), affût (0.449)"
affubler,"affaler (0.597), affoler (0.597), affable (0.560), affamer (0.488), affiner (0.488)"
affût,"affûter (0.669), affront (0.449)"
affûter,"affût (0.669), affecter (0.597), affairer (0.488), afficher (0.488), affirmer (0.488)"
afin de,afin que (0.622)
afin que,afin de (0.622)
agence,agencer (0.787)
agencer,"agence (0.787), argenter (0.488)"
agent,argent (0.633)
aggraver,agrafer (0.560)
agile,"argile (0.633), aile (0.591), asile (0.570), aigle (0.475), angle (0.395)"
agilité,agité (0.654)
agir,aire (0.350)
agitateur,agiter (0.551)
agiter,agitateur (0.551)
agité,agilité (0.654)
agneau,anneau (0.613)
agonie,agoniser (0.625)
agoniser,agonie (0.625)
agrafe,"agrafer (0.787), agréable (0.438)"
agrafer,"agrafe (0.787), aggraver (0.560), agrandir (0.501), agresser (0.488), agripper (0.488)"
agrandir,agrafer (0.501)
agresser,"agresseur (0.762), adresse (0.510), agréer (0.500), agrafer (0.488)"
agresseur,agresser (0.762)
agricole,article (0.392)
agriculteur,agriculture (0.713)
agriculture,agriculteur (0.713)
agripper,"agréer (0.500), agrafer (0.488)"
agréable,agrafe (0.438)
agréer,"agresser (0.500), agripper (0.500), augurer (0.340), aigreur (0.326), aigrir (0.310)"
ahaner,acharner (0.513)
ahuri,ahurir (0.767)
ahurir,ahuri (0.767)
aide,"aider (0.737), acide (0.591), aride (0.591), avide (0.591), aile (0.525)"
aider,"aide (0.737), aimer (0.590), acide (0.430), aride (0.430), avide (0.430)"
aigle,"aile (0.611), aigre (0.610), angle (0.570), aiguille (0.514), agile (0.475)"
aigre,"aigri (0.705), aigreur (0.669), aire (0.611), aigle (0.610), aigrette (0.606)"
aigrette,aigre (0.606)
aigreur,"aigre (0.669), aigrir (0.578), augurer (0.371), agréer (0.326)"
aigri,"aigrir (0.767), aigre (0.705), amaigri (0.626)"
aigrir,"aigri (0.767), aigreur (0.578), aiguiser (0.438), agréer (0.310), augurer (0.271)"
aiguille,aigle (0.514)
aiguiser,"aiguisé (0.681), aigrir (0.438)"
aiguisé,aiguiser (0.681)
aile,"ailé (0.650), aigle (0.611), agile (0.591), asile (0.591), aide (0.525)"
ailé,"aile (0.650), aimé (0.525), aisé (0.525)"
aimable,amiable (0.579)
aimant,"aimanter (0.700), amant (0.633), amante (0.480), amont (0.400), aménité (0.200)"
aimanter,"aimant (0.700), amante (0.525), aimer (0.514), amateur (0.380)"
aimer,"animer (0.633), amer (0.591), aider (0.590), armer (0.570), aimanter (0.514)"
aimé,"animé (0.591), ailé (0.525), aisé (0.525), armé (0.500)"
aine,"aide (0.525), aile (0.525), aire (0.525), aise (0.525), ange (0.275)"
aire,"aigre (0.611), aide (0.525), aile (0.525), aine (0.525), aise (0.525)"
aisance,"alliance (0.463), ambiance (0.463), aise (0.462)"
aise,"aisé (0.650), aide (0.525), aile (0.525), aine (0.525), aire (0.525)"
aisé,"aise (0.650), avisé (0.591), ailé (0.525), aimé (0.525), anis (0.350)"
aisément,aliment (0.463)
ajouter,ajuster (0.536)
ajuster,"ajusté (0.647), ajouter (0.536)"
ajusté,ajuster (0.647)
alangui,alanguir (0.802)
alanguir,"alangui (0.802), aplanir (0.438)"
alarme,"alarmer (0.787), arme (0.592)"
alarmer,"alarme (0.787), armer (0.626), acclamer (0.451)"
alentour,alerter (0.438)
alerte,"alerter (0.814), alerté (0.740)"
alerter,"alerte (0.814), alerté (0.669), alterner (0.539), alentour (0.438)"
alerté,"alerte (0.740), alerter (0.669)"
algue,algèbre (0.449)
algèbre,algue (0.449)
algérien,aérien (0.588)
alias,atlas (0.395)
aligner,"aliéner (0.671), aligné (0.647), assigner (0.572), affliger (0.438)"
aligné,aligner (0.647)
aliment,aisément (0.463)
alimentaire,alimenter (0.618)
alimenter,alimentaire (0.618)
aliéner,aligner (0.671)
allant,alléchant (0.551)
